backend,noise,p,outcome,count
cirq,bitflip,0.01,00000,957
cirq,bitflip,0.01,11111,960
cirq,bitflip,0.01,10000,12
cirq,bitflip,0.01,10111,6
cirq,bitflip,0.01,11011,8
cirq,bitflip,0.01,10001,1
cirq,bitflip,0.01,00001,15
cirq,bitflip,0.01,11101,5
cirq,bitflip,0.01,01000,7
cirq,bitflip,0.01,01111,5
cirq,bitflip,0.01,11110,2
cirq,bitflip,0.01,00100,15
cirq,bitflip,0.01,00010,5
cirq,bitflip,0.01,00101,1
cirq,bitflip,0.01,00110,1
cirq,bitflip,0.03,11111,871
cirq,bitflip,0.03,01111,30
cirq,bitflip,0.03,00000,818
cirq,bitflip,0.03,00100,40
cirq,bitflip,0.03,01000,26
cirq,bitflip,0.03,10111,25
cirq,bitflip,0.03,10000,28
cirq,bitflip,0.03,01101,2
cirq,bitflip,0.03,00010,30
cirq,bitflip,0.03,00001,27
cirq,bitflip,0.03,11011,31
cirq,bitflip,0.03,10011,3
cirq,bitflip,0.03,11101,22
cirq,bitflip,0.03,11110,35
cirq,bitflip,0.03,10101,3
cirq,bitflip,0.03,11100,1
cirq,bitflip,0.03,01110,2
cirq,bitflip,0.03,11001,1
cirq,bitflip,0.03,00011,1
cirq,bitflip,0.03,00101,1
cirq,bitflip,0.03,10110,1
cirq,bitflip,0.03,10001,2
cirq,bitflip,0.05,00001,31
cirq,bitflip,0.05,11111,767
cirq,bitflip,0.05,11101,39
cirq,bitflip,0.05,10111,42
cirq,bitflip,0.05,01111,43
cirq,bitflip,0.05,00000,800
cirq,bitflip,0.05,10000,46
cirq,bitflip,0.05,11110,32
cirq,bitflip,0.05,01000,37
cirq,bitflip,0.05,11010,5
cirq,bitflip,0.05,00010,42
cirq,bitflip,0.05,11011,37
cirq,bitflip,0.05,00100,40
cirq,bitflip,0.05,01110,2
cirq,bitflip,0.05,10100,1
cirq,bitflip,0.05,10011,1
cirq,bitflip,0.05,10110,3
cirq,bitflip,0.05,10001,3
cirq,bitflip,0.05,00101,3
cirq,bitflip,0.05,11001,2
cirq,bitflip,0.05,10101,1
cirq,bitflip,0.05,01101,2
cirq,bitflip,0.05,00011,2
cirq,bitflip,0.05,00111,3
cirq,bitflip,0.05,11100,2
cirq,bitflip,0.05,01010,2
cirq,bitflip,0.05,10010,3
cirq,bitflip,0.05,01001,1
cirq,bitflip,0.05,01011,3
cirq,bitflip,0.05,11000,3
cirq,bitflip,0.05,00110,1
cirq,bitflip,0.05,01100,1
cirq,bitflip,0.08,11011,49
cirq,bitflip,0.08,11111,648
cirq,bitflip,0.08,11110,74
cirq,bitflip,0.08,00000,655
cirq,bitflip,0.08,11101,59
cirq,bitflip,0.08,11000,5
cirq,bitflip,0.08,10000,51
cirq,bitflip,0.08,01000,66
cirq,bitflip,0.08,00001,48
cirq,bitflip,0.08,00010,57
cirq,bitflip,0.08,01111,70
cirq,bitflip,0.08,00100,58
cirq,bitflip,0.08,00101,4
cirq,bitflip,0.08,01001,4
cirq,bitflip,0.08,10111,59
cirq,bitflip,0.08,10100,6
cirq,bitflip,0.08,01101,6
cirq,bitflip,0.08,00011,7
cirq,bitflip,0.08,11100,7
cirq,bitflip,0.08,11010,6
cirq,bitflip,0.08,01010,6
cirq,bitflip,0.08,00111,6
cirq,bitflip,0.08,10001,3
cirq,bitflip,0.08,10010,6
cirq,bitflip,0.08,00110,13
cirq,bitflip,0.08,01100,6
cirq,bitflip,0.08,11001,6
cirq,bitflip,0.08,10011,6
cirq,bitflip,0.08,01011,3
cirq,bitflip,0.08,10101,3
cirq,bitflip,0.08,10110,1
cirq,bitflip,0.08,01110,2
cirq,bitflip,0.1,00000,579
cirq,bitflip,0.1,11101,75
cirq,bitflip,0.1,01111,57
cirq,bitflip,0.1,00001,70
cirq,bitflip,0.1,10001,11
cirq,bitflip,0.1,11111,605
cirq,bitflip,0.1,01000,80
cirq,bitflip,0.1,11011,62
cirq,bitflip,0.1,10000,67
cirq,bitflip,0.1,11100,11
cirq,bitflip,0.1,01011,6
cirq,bitflip,0.1,00100,72
cirq,bitflip,0.1,10111,66
cirq,bitflip,0.1,00010,59
cirq,bitflip,0.1,00110,12
cirq,bitflip,0.1,10110,4
cirq,bitflip,0.1,11110,67
cirq,bitflip,0.1,00101,7
cirq,bitflip,0.1,10010,10
cirq,bitflip,0.1,00011,7
cirq,bitflip,0.1,10011,3
cirq,bitflip,0.1,11010,7
cirq,bitflip,0.1,01110,6
cirq,bitflip,0.1,01010,7
cirq,bitflip,0.1,10101,4
cirq,bitflip,0.1,11001,7
cirq,bitflip,0.1,01001,7
cirq,bitflip,0.1,10100,7
cirq,bitflip,0.1,11000,6
cirq,bitflip,0.1,01100,5
cirq,bitflip,0.1,01101,5
cirq,bitflip,0.1,00111,9
