backend,noise,p,outcome,count
cirq,depolarizing,0.01,00000,975
cirq,depolarizing,0.01,11111,973
cirq,depolarizing,0.01,10000,5
cirq,depolarizing,0.01,10111,2
cirq,depolarizing,0.01,11011,7
cirq,depolarizing,0.01,11110,2
cirq,depolarizing,0.01,11101,5
cirq,depolarizing,0.01,01000,7
cirq,depolarizing,0.01,00001,11
cirq,depolarizing,0.01,01111,3
cirq,depolarizing,0.01,00100,7
cirq,depolarizing,0.01,00101,1
cirq,depolarizing,0.01,00010,1
cirq,depolarizing,0.01,00110,1
cirq,depolarizing,0.03,11111,919
cirq,depolarizing,0.03,01111,24
cirq,depolarizing,0.03,00000,863
cirq,depolarizing,0.03,00100,24
cirq,depolarizing,0.03,01000,16
cirq,depolarizing,0.03,10000,16
cirq,depolarizing,0.03,00010,23
cirq,depolarizing,0.03,00001,25
cirq,depolarizing,0.03,11011,21
cirq,depolarizing,0.03,10011,2
cirq,depolarizing,0.03,10111,15
cirq,depolarizing,0.03,11101,19
cirq,depolarizing,0.03,11110,29
cirq,depolarizing,0.03,01110,1
cirq,depolarizing,0.03,00011,1
cirq,depolarizing,0.03,10101,1
cirq,depolarizing,0.03,10001,1
cirq,depolarizing,0.05,00001,25
cirq,depolarizing,0.05,11111,842
cirq,depolarizing,0.05,11101,27
cirq,depolarizing,0.05,10111,24
cirq,depolarizing,0.05,01111,35
cirq,depolarizing,0.05,00000,864
cirq,depolarizing,0.05,01000,24
cirq,depolarizing,0.05,11010,3
cirq,depolarizing,0.05,11011,23
cirq,depolarizing,0.05,11110,22
cirq,depolarizing,0.05,00100,26
cirq,depolarizing,0.05,01110,1
cirq,depolarizing,0.05,00010,28
cirq,depolarizing,0.05,10000,33
cirq,depolarizing,0.05,10100,2
cirq,depolarizing,0.05,10011,1
cirq,depolarizing,0.05,10001,2
cirq,depolarizing,0.05,00101,2
cirq,depolarizing,0.05,11001,2
cirq,depolarizing,0.05,01101,1
cirq,depolarizing,0.05,00011,1
cirq,depolarizing,0.05,11100,2
cirq,depolarizing,0.05,01010,2
cirq,depolarizing,0.05,10010,1
cirq,depolarizing,0.05,11000,2
cirq,depolarizing,0.05,01011,2
cirq,depolarizing,0.05,00110,1
cirq,depolarizing,0.05,10110,1
cirq,depolarizing,0.05,01100,1
cirq,depolarizing,0.08,11011,47
cirq,depolarizing,0.08,11111,735
cirq,depolarizing,0.08,11110,58
cirq,depolarizing,0.08,00000,774
cirq,depolarizing,0.08,11101,46
cirq,depolarizing,0.08,10000,34
cirq,depolarizing,0.08,00001,31
cirq,depolarizing,0.08,00010,47
cirq,depolarizing,0.08,01111,51
cirq,depolarizing,0.08,00100,37
cirq,depolarizing,0.08,00101,2
cirq,depolarizing,0.08,01000,38
cirq,depolarizing,0.08,01001,2
cirq,depolarizing,0.08,10111,45
cirq,depolarizing,0.08,10100,4
cirq,depolarizing,0.08,00011,3
cirq,depolarizing,0.08,10011,6
cirq,depolarizing,0.08,01010,5
cirq,depolarizing,0.08,00111,6
cirq,depolarizing,0.08,11100,2
cirq,depolarizing,0.08,01101,3
cirq,depolarizing,0.08,10010,2
cirq,depolarizing,0.08,00110,8
cirq,depolarizing,0.08,11001,3
cirq,depolarizing,0.08,11010,3
cirq,depolarizing,0.08,10110,2
cirq,depolarizing,0.08,10001,1
cirq,depolarizing,0.08,01011,1
cirq,depolarizing,0.08,01100,3
cirq,depolarizing,0.08,11000,1
cirq,depolarizing,0.1,00000,703
cirq,depolarizing,0.1,11101,62
cirq,depolarizing,0.1,01111,39
cirq,depolarizing,0.1,00001,46
cirq,depolarizing,0.1,10001,6
cirq,depolarizing,0.1,11111,717
cirq,depolarizing,0.1,01000,57
cirq,depolarizing,0.1,11011,46
cirq,depolarizing,0.1,10000,52
cirq,depolarizing,0.1,11100,5
cirq,depolarizing,0.1,00100,62
cirq,depolarizing,0.1,10111,53
cirq,depolarizing,0.1,00110,8
cirq,depolarizing,0.1,10110,2
cirq,depolarizing,0.1,00101,2
cirq,depolarizing,0.1,11110,49
cirq,depolarizing,0.1,11010,4
cirq,depolarizing,0.1,00011,2
cirq,depolarizing,0.1,10011,2
cirq,depolarizing,0.1,00010,47
cirq,depolarizing,0.1,01110,3
cirq,depolarizing,0.1,10101,1
cirq,depolarizing,0.1,01011,2
cirq,depolarizing,0.1,01001,5
cirq,depolarizing,0.1,00111,5
cirq,depolarizing,0.1,11001,3
cirq,depolarizing,0.1,01100,4
cirq,depolarizing,0.1,01101,2
cirq,depolarizing,0.1,10100,4
cirq,depolarizing,0.1,10010,2
cirq,depolarizing,0.1,01010,1
cirq,depolarizing,0.1,11000,4
