backend,noise,p,outcome,count
qiskit,bitflip,0.01,11111,912
qiskit,bitflip,0.01,11001,8
qiskit,bitflip,0.01,00000,928
qiskit,bitflip,0.01,00010,27
qiskit,bitflip,0.01,01111,11
qiskit,bitflip,0.01,10111,10
qiskit,bitflip,0.01,11101,19
qiskit,bitflip,0.01,11011,14
qiskit,bitflip,0.01,10000,6
qiskit,bitflip,0.01,00100,8
qiskit,bitflip,0.01,00001,9
qiskit,bitflip,0.01,01110,14
qiskit,bitflip,0.01,11110,16
qiskit,bitflip,0.01,00110,11
qiskit,bitflip,0.01,01000,4
qiskit,bitflip,0.01,10001,3
qiskit,bitflip,0.03,11111,772
qiskit,bitflip,0.03,01000,29
qiskit,bitflip,0.03,00000,767
qiskit,bitflip,0.03,00001,28
qiskit,bitflip,0.03,00110,39
qiskit,bitflip,0.03,00100,24
qiskit,bitflip,0.03,11011,26
qiskit,bitflip,0.03,11101,67
qiskit,bitflip,0.03,10000,13
qiskit,bitflip,0.03,10111,32
qiskit,bitflip,0.03,10001,32
qiskit,bitflip,0.03,01110,23
qiskit,bitflip,0.03,01111,26
qiskit,bitflip,0.03,11001,19
qiskit,bitflip,0.03,11110,19
qiskit,bitflip,0.03,01001,3
qiskit,bitflip,0.03,00010,53
qiskit,bitflip,0.03,10101,2
qiskit,bitflip,0.03,01100,7
qiskit,bitflip,0.03,01011,1
qiskit,bitflip,0.03,00011,3
qiskit,bitflip,0.03,10011,2
qiskit,bitflip,0.03,01101,3
qiskit,bitflip,0.03,01010,2
qiskit,bitflip,0.03,11000,3
qiskit,bitflip,0.03,00101,2
qiskit,bitflip,0.03,00111,2
qiskit,bitflip,0.03,10110,1
qiskit,bitflip,0.05,11111,642
qiskit,bitflip,0.05,00100,37
qiskit,bitflip,0.05,11110,42
qiskit,bitflip,0.05,01110,45
qiskit,bitflip,0.05,11101,78
qiskit,bitflip,0.05,00000,652
qiskit,bitflip,0.05,00010,76
qiskit,bitflip,0.05,01010,15
qiskit,bitflip,0.05,01100,6
qiskit,bitflip,0.05,01000,41
qiskit,bitflip,0.05,10111,35
qiskit,bitflip,0.05,11000,6
qiskit,bitflip,0.05,11011,36
qiskit,bitflip,0.05,10000,25
qiskit,bitflip,0.05,11001,53
qiskit,bitflip,0.05,10011,7
qiskit,bitflip,0.05,10001,47
qiskit,bitflip,0.05,01111,38
qiskit,bitflip,0.05,10110,2
qiskit,bitflip,0.05,00001,30
qiskit,bitflip,0.05,00111,1
qiskit,bitflip,0.05,00110,50
qiskit,bitflip,0.05,00101,2
qiskit,bitflip,0.05,11010,2
qiskit,bitflip,0.05,11100,5
qiskit,bitflip,0.05,01011,3
qiskit,bitflip,0.05,01101,6
qiskit,bitflip,0.05,01001,6
qiskit,bitflip,0.05,10100,2
qiskit,bitflip,0.05,10010,5
qiskit,bitflip,0.05,10101,1
qiskit,bitflip,0.05,00011,4
qiskit,bitflip,0.08,01110,75
qiskit,bitflip,0.08,11101,95
qiskit,bitflip,0.08,11011,64
qiskit,bitflip,0.08,11111,499
qiskit,bitflip,0.08,01000,53
qiskit,bitflip,0.08,00000,514
qiskit,bitflip,0.08,11110,47
qiskit,bitflip,0.08,00100,49
qiskit,bitflip,0.08,00010,86
qiskit,bitflip,0.08,00001,50
qiskit,bitflip,0.08,01100,13
qiskit,bitflip,0.08,10100,6
qiskit,bitflip,0.08,10101,14
qiskit,bitflip,0.08,11001,62
qiskit,bitflip,0.08,00110,60
qiskit,bitflip,0.08,10111,58
qiskit,bitflip,0.08,10000,41
qiskit,bitflip,0.08,10001,53
qiskit,bitflip,0.08,01111,48
qiskit,bitflip,0.08,10110,9
qiskit,bitflip,0.08,10011,14
qiskit,bitflip,0.08,01011,8
qiskit,bitflip,0.08,10010,8
qiskit,bitflip,0.08,00101,4
qiskit,bitflip,0.08,01010,12
qiskit,bitflip,0.08,01101,12
qiskit,bitflip,0.08,00011,7
qiskit,bitflip,0.08,01001,11
qiskit,bitflip,0.08,11000,9
qiskit,bitflip,0.08,00111,10
qiskit,bitflip,0.08,11010,4
qiskit,bitflip,0.08,11100,5
qiskit,bitflip,0.1,11011,49
qiskit,bitflip,0.1,01000,58
qiskit,bitflip,0.1,00000,444
qiskit,bitflip,0.1,11001,77
qiskit,bitflip,0.1,11111,423
qiskit,bitflip,0.1,01110,80
qiskit,bitflip,0.1,00110,55
qiskit,bitflip,0.1,00010,96
qiskit,bitflip,0.1,11110,49
qiskit,bitflip,0.1,11101,108
qiskit,bitflip,0.1,00100,54
qiskit,bitflip,0.1,10010,14
qiskit,bitflip,0.1,10011,19
qiskit,bitflip,0.1,11000,17
qiskit,bitflip,0.1,10111,50
qiskit,bitflip,0.1,10000,47
qiskit,bitflip,0.1,10101,32
qiskit,bitflip,0.1,10001,59
qiskit,bitflip,0.1,01111,59
qiskit,bitflip,0.1,10100,7
qiskit,bitflip,0.1,11100,17
qiskit,bitflip,0.1,00001,49
qiskit,bitflip,0.1,00101,9
qiskit,bitflip,0.1,10110,13
qiskit,bitflip,0.1,01100,20
qiskit,bitflip,0.1,01101,13
qiskit,bitflip,0.1,11010,7
qiskit,bitflip,0.1,01001,15
qiskit,bitflip,0.1,01011,11
qiskit,bitflip,0.1,00011,13
qiskit,bitflip,0.1,01010,18
qiskit,bitflip,0.1,00111,18
