backend,noise,p,outcome,count
qiskit,depolarizing,0.01,11111,972
qiskit,depolarizing,0.01,10001,4
qiskit,depolarizing,0.01,00000,985
qiskit,depolarizing,0.01,01110,4
qiskit,depolarizing,0.01,11101,4
qiskit,depolarizing,0.01,00110,11
qiskit,depolarizing,0.01,11110,3
qiskit,depolarizing,0.01,00100,3
qiskit,depolarizing,0.01,01000,3
qiskit,depolarizing,0.01,01111,4
qiskit,depolarizing,0.01,00001,1
qiskit,depolarizing,0.01,10000,2
qiskit,depolarizing,0.01,11001,2
qiskit,depolarizing,0.01,11011,1
qiskit,depolarizing,0.01,00010,1
qiskit,depolarizing,0.03,11111,911
qiskit,depolarizing,0.03,10001,4
qiskit,depolarizing,0.03,00000,924
qiskit,depolarizing,0.03,00010,29
qiskit,depolarizing,0.03,01111,8
qiskit,depolarizing,0.03,10111,8
qiskit,depolarizing,0.03,11011,11
qiskit,depolarizing,0.03,00100,7
qiskit,depolarizing,0.03,11001,15
qiskit,depolarizing,0.03,10000,6
qiskit,depolarizing,0.03,00110,14
qiskit,depolarizing,0.03,11101,21
qiskit,depolarizing,0.03,01110,17
qiskit,depolarizing,0.03,11110,11
qiskit,depolarizing,0.03,01000,3
qiskit,depolarizing,0.03,00001,7
qiskit,depolarizing,0.03,00011,1
qiskit,depolarizing,0.03,00111,1
qiskit,depolarizing,0.03,10010,1
qiskit,depolarizing,0.03,01001,1
qiskit,depolarizing,0.05,11111,867
qiskit,depolarizing,0.05,10001,17
qiskit,depolarizing,0.05,00000,860
qiskit,depolarizing,0.05,00110,33
qiskit,depolarizing,0.05,00010,47
qiskit,depolarizing,0.05,11110,11
qiskit,depolarizing,0.05,00100,13
qiskit,depolarizing,0.05,11011,18
qiskit,depolarizing,0.05,11001,22
qiskit,depolarizing,0.05,01111,13
qiskit,depolarizing,0.05,11101,28
qiskit,depolarizing,0.05,10010,1
qiskit,depolarizing,0.05,10111,16
qiskit,depolarizing,0.05,10000,7
qiskit,depolarizing,0.05,00001,11
qiskit,depolarizing,0.05,01000,10
qiskit,depolarizing,0.05,01110,22
qiskit,depolarizing,0.05,01101,1
qiskit,depolarizing,0.05,01010,1
qiskit,depolarizing,0.05,11010,1
qiskit,depolarizing,0.05,01100,1
qiskit,depolarizing,0.08,11111,787
qiskit,depolarizing,0.08,01000,22
qiskit,depolarizing,0.08,00000,781
qiskit,depolarizing,0.08,00001,17
qiskit,depolarizing,0.08,00110,49
qiskit,depolarizing,0.08,00100,21
qiskit,depolarizing,0.08,11011,19
qiskit,depolarizing,0.08,11101,62
qiskit,depolarizing,0.08,11110,16
qiskit,depolarizing,0.08,10001,36
qiskit,depolarizing,0.08,11001,28
qiskit,depolarizing,0.08,01110,27
qiskit,depolarizing,0.08,01111,25
qiskit,depolarizing,0.08,10000,9
qiskit,depolarizing,0.08,00010,57
qiskit,depolarizing,0.08,10110,2
qiskit,depolarizing,0.08,01100,6
qiskit,depolarizing,0.08,10111,26
qiskit,depolarizing,0.08,01101,1
qiskit,depolarizing,0.08,01011,1
qiskit,depolarizing,0.08,10011,1
qiskit,depolarizing,0.08,01010,2
qiskit,depolarizing,0.08,10101,1
qiskit,depolarizing,0.08,10010,1
qiskit,depolarizing,0.08,00111,2
qiskit,depolarizing,0.08,00101,1
qiskit,depolarizing,0.1,11111,744
qiskit,depolarizing,0.1,11001,42
qiskit,depolarizing,0.1,01000,33
qiskit,depolarizing,0.1,00000,736
qiskit,depolarizing,0.1,00010,67
qiskit,depolarizing,0.1,11101,67
qiskit,depolarizing,0.1,01110,45
qiskit,depolarizing,0.1,00110,46
qiskit,depolarizing,0.1,10001,48
qiskit,depolarizing,0.1,10111,21
qiskit,depolarizing,0.1,01111,25
qiskit,depolarizing,0.1,11011,27
qiskit,depolarizing,0.1,00001,22
qiskit,depolarizing,0.1,10000,9
qiskit,depolarizing,0.1,01010,6
qiskit,depolarizing,0.1,00100,24
qiskit,depolarizing,0.1,11110,19
qiskit,depolarizing,0.1,01101,3
qiskit,depolarizing,0.1,10110,4
qiskit,depolarizing,0.1,10010,1
qiskit,depolarizing,0.1,10101,2
qiskit,depolarizing,0.1,01100,2
qiskit,depolarizing,0.1,10011,2
qiskit,depolarizing,0.1,11010,1
qiskit,depolarizing,0.1,11100,1
qiskit,depolarizing,0.1,00011,2
qiskit,depolarizing,0.1,00111,1
