sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
0,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
1,biased,0.09,0110,IIZIZ,IIYII,IIXIZ,1000,-1,0
2,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
3,biased,0.09,0100,ZIYII,IZIII,ZZYII,0001,-1,0
4,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
5,biased,0.09,0011,IIIIX,IIIIX,IIIII,0000,1,1
6,biased,0.09,1111,IIIYI,IZIII,IZIYI,1010,-1,0
7,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
8,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
9,biased,0.09,0100,IIIIZ,IZIII,IZIIZ,0001,-1,0
10,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
11,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
12,biased,0.09,1100,IIXII,IIIYI,IIXYI,0011,-1,0
13,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
14,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
15,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
16,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
17,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
18,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
19,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
20,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
21,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
22,biased,0.09,0111,ZYIII,IXIII,ZZIII,1111,-1,0
23,biased,0.09,0100,IIIIZ,IZIII,IZIIZ,0001,-1,0
24,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
25,biased,0.09,0100,IIIIZ,IZIII,IZIIZ,0001,-1,0
26,biased,0.09,1010,ZIIII,ZIIII,IIIII,0000,1,1
27,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
28,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
29,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
30,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
31,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
32,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
33,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
34,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
35,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
36,biased,0.09,1110,IIYII,IYIII,IYYII,0011,-1,0
37,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
38,biased,0.09,0110,IIIXI,IIYII,IIYXI,1000,-1,0
39,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
40,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
41,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
42,biased,0.09,1100,IIXII,IIIYI,IIXYI,0011,-1,0
43,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
44,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
45,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
46,biased,0.09,0011,IIIIX,IIIIX,IIIII,0000,1,1
47,biased,0.09,1011,YIIII,XIIII,ZIIII,1010,-1,0
48,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
49,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
50,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
51,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
52,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
53,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
54,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
55,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
56,biased,0.09,1111,IIIYI,IZIII,IZIYI,1010,-1,0
57,biased,0.09,0001,XIIII,XIIII,IIIII,0000,1,1
58,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
59,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
60,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
61,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
62,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
63,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
64,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
65,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
66,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
67,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
68,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
69,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
70,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
71,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
72,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
73,biased,0.09,1110,IIYII,IYIII,IYYII,0011,-1,0
74,biased,0.09,1010,IZXIX,ZIIII,ZZXIX,0000,-1,0
75,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
76,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
77,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
78,biased,0.09,1110,IIYII,IYIII,IYYII,0011,-1,0
79,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
80,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
81,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
82,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
83,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
84,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
85,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
86,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
87,biased,0.09,1010,ZIIII,ZIIII,IIIII,0000,1,1
88,biased,0.09,1110,IIYII,IYIII,IYYII,0011,-1,0
89,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
90,biased,0.09,1011,YIIII,XIIII,ZIIII,1010,-1,0
91,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
92,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
93,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
94,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
95,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
96,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
97,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
98,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
99,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
