sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
0,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
1,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
3,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
4,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
5,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
6,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
7,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
8,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
9,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
10,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
11,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
12,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
13,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
14,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
15,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
16,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
17,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
18,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
19,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
20,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
21,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
22,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
23,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
24,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
25,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
26,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
27,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
28,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
29,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
30,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
31,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
32,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
33,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
34,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
35,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
36,bitflip,0.07,1010,IIXXI,XIIII,XIXXI,1011,-1,0
37,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
38,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
39,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
40,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
41,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
42,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
43,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
44,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
45,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
46,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
47,bitflip,0.07,0100,IXXII,IXIII,IIXII,1100,-1,0
