sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
0,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
1,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2,depolarizing,0.05,1010,ZIIII,XIIII,YIIII,1011,-1,0
3,depolarizing,0.05,1010,IZIYI,XIIII,XZIYI,1011,-1,0
4,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
5,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
6,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
7,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
8,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
9,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
10,depolarizing,0.05,1001,IIIZI,IXIII,IXIZI,0001,-1,0
11,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
12,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
13,depolarizing,0.05,1000,IXIII,IXIII,IIIII,0000,1,1
14,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
15,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
16,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
17,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
18,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
19,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
20,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
21,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
22,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
23,depolarizing,0.05,0101,IZIII,IZIII,IIIII,0000,1,1
24,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
25,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
26,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
27,depolarizing,0.05,1011,IIZZI,YIIII,YIZZI,0000,-1,0
28,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
29,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
30,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
31,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
32,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
33,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
34,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
35,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
36,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
37,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
38,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
39,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
40,depolarizing,0.05,1100,IIXII,IYIII,IYXII,0001,-1,0
41,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
42,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
43,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
44,depolarizing,0.05,1100,IIXII,IYIII,IYXII,0001,-1,0
45,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
46,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
47,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
48,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
49,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
50,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
51,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
52,depolarizing,0.05,1100,IIXII,IYIII,IYXII,0001,-1,0
53,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
54,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
55,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
56,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
57,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
58,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
59,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
60,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
61,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
62,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
63,depolarizing,0.05,0111,IIIIY,IXIII,IXIIY,1111,-1,0
64,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
65,depolarizing,0.05,0100,IIIIZ,YIIII,YIIIZ,1111,-1,0
66,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
67,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
68,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
69,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
70,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
71,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
72,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
73,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
74,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
75,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
76,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
77,depolarizing,0.05,1010,ZIIII,XIIII,YIIII,1011,-1,0
78,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
79,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
80,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
81,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
82,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
83,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
84,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
85,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
86,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
87,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
88,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
89,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
90,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
91,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
92,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
93,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
94,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
95,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
96,depolarizing,0.05,0100,IIIIZ,YIIII,YIIIZ,1111,-1,0
97,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
98,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
99,depolarizing,0.05,1110,IIYII,IZIII,IZYII,1011,-1,0
100,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
101,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
102,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
103,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
104,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
105,depolarizing,0.05,0111,YIXII,IXIII,YXXII,1111,-1,0
106,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
107,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
108,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
109,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
110,depolarizing,0.05,1011,YIIII,YIIII,IIIII,0000,1,1
111,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
112,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
113,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
114,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
115,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
116,depolarizing,0.05,1001,ZIIIX,IXIII,ZXIIX,0001,-1,0
117,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
118,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
119,depolarizing,0.05,1000,IXIII,IXIII,IIIII,0000,1,1
120,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
121,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
122,depolarizing,0.05,1000,IXIII,IXIII,IIIII,0000,1,1
123,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
124,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
125,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
126,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
127,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
128,depolarizing,0.05,1001,IIIZI,IXIII,IXIZI,0001,-1,0
129,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
130,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
131,depolarizing,0.05,0011,IIIIX,IXIII,IXIIX,1011,-1,0
132,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
133,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
134,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
135,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
136,depolarizing,0.05,0010,XIIIX,YIIII,ZIIIX,1001,-1,0
137,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
138,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
139,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
140,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
141,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
142,depolarizing,0.05,0010,IIZII,YIIII,YIZII,1001,-1,0
143,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
144,depolarizing,0.05,0111,IIIIY,IXIII,IXIIY,1111,-1,0
145,depolarizing,0.05,0001,XIIII,XIIII,IIIII,0000,1,1
146,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
147,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
148,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
149,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
150,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
151,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
152,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
153,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
154,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
155,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
156,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
157,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
158,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
159,depolarizing,0.05,0111,IIIIY,IXIII,IXIIY,1111,-1,0
160,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
161,depolarizing,0.05,1010,ZIIII,XIIII,YIIII,1011,-1,0
162,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
163,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
164,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
165,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
166,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
167,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
168,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
169,depolarizing,0.05,0001,XIIII,XIIII,IIIII,0000,1,1
170,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
171,depolarizing,0.05,0100,IIIIZ,YIIII,YIIIZ,1111,-1,0
172,depolarizing,0.05,0011,IIIIX,IXIII,IXIIX,1011,-1,0
